No,Content,Title,Price,Picture,Size,Create Date
355915284524115_759236142877612,問號造型小矮凳唔知踢到佢會唔會有蘑菇掉出來升級呢？31 cm左右的大小適合各種用途-【Mario問號造型小矮凳】// Size: 31x31cm //$390WhatsApp:55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s家品,Mario問號造型小矮凳,390,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/358711256_759236119544281_3734070041303575297_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=r4CxkGm-d6cAX9-3aHq&_nc_oc=AQlqFPI-H80DwNQyTZj6H1IwJQ0CyZunoBSTDKWnuNe9vdhHuFsPACp-DQB__Fs71xk&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfBusAIkc-SPyHrL4zS2agyb8gOxg1XyMSN55hCAlj7pew&oe=64B275A0, Size: 31x31cm ,2023-07-11T10:16:31+0000
355915284524115_750071907127369,有一天栽種着玫瑰花的小王子碰到了食人花侵佔 佔領了他的玫瑰園看着看着他覺得食人花也很漂亮所以最後決定把食人花也樣在一起了漂亮的小王子食人花盆景誰不想擁有一個？-🌟食人花盆栽（小王子版本）🌟款式：小王子與狐狸｜小王子與玫瑰花盆尺寸：10 x 9.5cm連禮物盒＄160－🌟食人花玻璃盆景🌟尺寸：10 x 7cm連禮物盒＄99－Whatsapp: 55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心拖鞋 #s2s食人花,,,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/356667040_750071873794039_4357281678510707555_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=8Xqjkl0h5rkAX-S01bf&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfCtseW2qIsF8e25uBWDVFVjL89WOiZ7o-p_wunRJw7qew&oe=64B35CA5,,2023-06-29T11:40:33+0000
355915284524115_753031060164787,海浪造型地毯超有層次的設計哪個季節都不過時在浪花上散步勁浪漫超溫馨-【海浪毛毛地毯】// 尺寸︰60x120cm //$360whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s地毯,海浪毛毛地毯,360,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/357567622_753031036831456_1912810761347865343_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=KmKPcl4TH-UAX94oEk8&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDSp-3gnW3RoZSRE_MKXQSG03MLplUXEcT3vy7zxJjBqQ&oe=64B25260, 尺寸︰60x120cm ,2023-07-03T09:51:14+0000
355915284524115_757835126351047,嚇人的貞子居然有一天也會碰上搞笑的戽斗動物，這次合作的扭蛋系列絕對會讓大家又驚（驚嚇）又喜（喜歡），要讓各位沒有轉到整組不罷手啊！貞子與戽斗這組合居然意外的搭，貞子原本陰森的造型，一頭黑長髮遮蓋著臉，讓人想到就發冷，但現在完全不會有害怕的感覺，因為那戽斗超．搶．戲，直接讓恐懼感消失。-【戽斗貞子扭蛋】//一套4款* 電視款缺貨，只有四款//$220whatsapp:55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s扭蛋,戽斗貞子扭蛋,220,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/358135787_757835109684382_7672684481888538569_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=Wg6ArNlDqW8AX886hco&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDQwHeQxzTEYJG5VmAm7heluL14b2Kiua7haqKqYd3wWA&oe=64B22721,一套4款* 電視款缺貨，只有四款,2023-07-09T09:40:47+0000
355915284524115_749224600545433,小新中那個鼻水流不停的阿呆將化身為過敏兒的救星準備用鼻涕支援大家-【阿呆紙巾硬盒】人手製作// 尺寸︰25cm //$220whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s紙巾套,阿呆紙巾硬盒,220,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/355665885_749224580545435_8735749071179055287_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_ohc=jyjrnDuJdBEAX9SCe5y&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfBLmIenSEAbGuv90C9PT7cYKLbaWIAXjq3M_yaIOI-i2w&oe=64B2DDCF, 尺寸︰25cm ,2023-06-28T10:06:23+0000
355915284524115_752309360236957,復古情懷Game Boy AirPods 套！！！好懷念以前吹卡帶既日子⋯⋯有冇同感-復古情懷Game Boy AirPods 套各款Airpod適用$120-WhatsApp:55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2sairpods,,120,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/357456378_752309336903626_2717123650174940059_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=wt3zDBEsz58AX9zcYs7&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAwxCh9QjHdhLFBITGRwO70uXLtE3bVFL1c1thkCOhPDQ&oe=64B29AB6,,2023-07-02T10:41:53+0000
355915284524115_754742999993593,如果你正在尋找一個iPhone適用又超可愛嘅手機殼，咁呢個產品絕對唔會令你失望！佢係一個綠色嘅殼，仲有兩隻凸出來嘅眼睛，真係好睇好睇呀！仲有個特別嘅feature，就係佢嘅手腳可以把玩，咁你唔洗擔心無聊啦！咁樣嘅殼就算你冇咩事做，都可以陪你玩樂添啦！快D買返屋企啦，搵個新伴侶啦！-巨眼青蛙手機殼Iphone適用$120-WhatsApp:55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s手機殼,,120,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/357493267_754742969993596_3600120929736384951_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_ohc=lRUfZvFf-HwAX8qujJt&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAn3tmyJW-XPJSOTb4bLlPvL0Udfe_vX1_mX0o9Fs8cVQ&oe=64B2A37A,,2023-07-05T11:41:41+0000
355915284524115_751496760318217,開放訂製！！！！！！！訂團體數量將會有折扣邊個話送杯係最垃圾既禮物？！可以為你訂製你專屬的文字小杯快點團購吧！-有印良品文字杯*訂購需知*可訂購 5字以下中文字＋25字母以下英文字（包括空白鍵）$150/ 1個5個起可獲各團體折扣，可以查詢客服-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s杯,,150,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/357715006_751496740318219_4794579960176092015_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=F1VAtkME48wAX8I_V84&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAezQKOsij3oIqBPnRbD0rWVFOu9tyEC-KNPZDNWo85-g&oe=64B21ED1,,2023-07-01T10:13:07+0000
355915284524115_757109883090238,🔆可愛的小食人花回來了🔆這次和香港小花店合作，推出食人花小盆❤️適合放在辦公室/家中都可以～-🌱簡單種植方法1）室外室內都可，沒有陽光，可以以人工照明普通燈光代替2）一星期淋水兩至三次即可3）不需要刻意餵食，一般只需要水和陽光即可以生存4）如果餵食，請不要過量，每次要等一個夾子消化完重新打開先可以進行下一次5）不需要施肥-食人花玻璃盆景$99Whatsapp: 55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心拖鞋 #s2s食人花,,99,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/358534080_757109853090241_2213910686679121823_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=pH02DhkfdV8AX8XtAEp&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfBK_PDySFv6QK3umt0XaxqOrwTEja1yloIsH8xPd44bqw&oe=64B2D2D0,,2023-07-08T11:24:48+0000
355915284524115_758547222946504,老師：「小新，請用『左右為難』來造句」小新：「我考試時左右為難」老師：「是題目不會答，讓你左右為難？」小新：「不，是左右同學答案不一樣，讓我左右為難」-【小新如来佛擺件】-$190-WhatsApp:55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s玩具,小新如来佛擺件,190,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/359820946_758547196279840_1436676169348925783_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=wVZFyePi3RwAX8kuiiI&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDbRbr9c0dt8sSisPSuhqgcymH_C5CLJ1pDXQQPsmqBfg&oe=64B3CEE4,,2023-07-10T10:04:11+0000
