No,Content,CreateDate
355915284524115_759236142877612,"問號造型小矮凳
唔知踢到佢會唔會有蘑菇掉出來升級呢？
31 cm左右的大小適合各種用途
-
【Mario問號造型小矮凳】
// Size: 31x31cm //
$390
WhatsApp:55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s家品",2023-07-11T10:16:31+0000
355915284524115_758547222946504,"老師：「小新，請用『左右為難』來造句」
小新：「我考試時左右為難」
老師：「是題目不會答，讓你左右為難？」
小新：「不，是左右同學答案不一樣，讓我左右為難」
-
【小新如来佛擺件】
-
$190
-
WhatsApp:55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s玩具",2023-07-10T10:04:11+0000
355915284524115_757835126351047,"嚇人的貞子居然有一天也會碰上搞笑的戽斗動物，這次合作的扭蛋系列絕對會讓大家又驚（驚嚇）又喜（喜歡），要讓各位沒有轉到整組不罷手啊！
貞子與戽斗這組合居然意外的搭，貞子原本陰森的造型，一頭黑長髮遮蓋著臉，讓人想到就發冷，但現在完全不會有害怕的感覺，因為那戽斗超．搶．戲，直接讓恐懼感消失。
-
【戽斗貞子扭蛋】
//一套4款* 電視款缺貨，只有四款//
$220

whatsapp:55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s扭蛋",2023-07-09T09:40:47+0000
355915284524115_757109883090238,"🔆可愛的小食人花回來了🔆
這次和香港小花店合作，推出食人花小盆❤️
適合放在辦公室/家中都可以～
-
🌱簡單種植方法
1）室外室內都可，沒有陽光，可以以人工照明普通燈光代替

2）一星期淋水兩至三次即可

3）不需要刻意餵食，一般只需要水和陽光即可以生存

4）如果餵食，請不要過量，每次要等一個夾子消化完重新打開先可以進行下一次

5）不需要施肥
-
食人花玻璃盆景
$99
Whatsapp: 55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心拖鞋 #s2s食人花",2023-07-08T11:24:48+0000
355915284524115_755476743253552,"再OT，你殺左我啦
再冇錢，你殺左我啦
再打尖，你殺左我啦
-
【小龍龍儲錢桶】
// Size: 約20cmW //
$160
whatsapp:55109214

#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s玩具",2023-07-06T09:40:09+0000
355915284524115_754742999993593,"如果你正在尋找一個iPhone適用又超可愛嘅手機殼，咁呢個產品絕對唔會令你失望！佢係一個綠色嘅殼，仲有兩隻凸出來嘅眼睛，真係好睇好睇呀！仲有個特別嘅feature，就係佢嘅手腳可以把玩，咁你唔洗擔心無聊啦！咁樣嘅殼就算你冇咩事做，都可以陪你玩樂添啦！快D買返屋企啦，搵個新伴侶啦！
-
巨眼青蛙手機殼
Iphone適用
$120
-
WhatsApp:55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s手機殼",2023-07-05T11:41:41+0000
355915284524115_753864086748151,"鴨鴨鴨鴨鴨！
鴨鴨⋯⋯鴨鴨鴨！！！
(´Θ｀)(´Θ｀)(´Θ｀)(´Θ｀)(´Θ｀)
傻⋯⋯⋯⋯⋯⋯⋯⋯鴨！！！
-
【傻鴨睡衣】
// Size:
S 150-157CM
M 158-162CM
L 163-168CM
XL 169-173CM
//
$360
whatsapp:55109214

#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s睡衣",2023-07-04T09:52:25+0000
355915284524115_753031060164787,"海浪造型地毯
超有層次的設計
哪個季節都不過時
在浪花上散步
勁浪漫超溫馨
-
【海浪毛毛地毯】
// 尺寸︰60x120cm //
$360
whatsapp:55109214

#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s地毯",2023-07-03T09:51:14+0000
355915284524115_752309360236957,"復古情懷Game Boy AirPods 套！！！
好懷念以前吹卡帶既日子⋯⋯
有冇同感
-
復古情懷Game Boy AirPods 套
各款Airpod適用
$120
-
WhatsApp:55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2sairpods",2023-07-02T10:41:53+0000
355915284524115_751496760318217,"開放訂製！！！！！！！
訂團體數量將會有折扣
邊個話送杯係最垃圾既禮物？！
可以為你訂製你專屬的文字小杯
快點團購吧！
-
有印良品文字杯
*訂購需知*
可訂購 5字以下中文字＋25字母以下英文字（包括空白鍵）
$150/ 1個
5個起可獲各團體折扣，可以查詢客服
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s杯",2023-07-01T10:13:07+0000
355915284524115_750726650395228,"公主最愛挖鼻屎~
可選擇入邊8款公主造型❤
.
🌟公主抱枕🌟
30CM $190 
40CM $220
50CM $250 
60CM $290 -
whatsapp:55109214
-
#畢業公仔 #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #s2s訂製",2023-06-30T10:33:45+0000
355915284524115_750071907127369,"有一天
栽種着玫瑰花的小王子碰到了
食人花侵佔 佔領了他的玫瑰園
看着看着他覺得食人花也很漂亮
所以最後決定把食人花也樣在一起了
漂亮的小王子食人花盆景誰不想擁有一個？
-
🌟食人花盆栽（小王子版本）🌟
款式：小王子與狐狸｜小王子與玫瑰
花盆尺寸：10 x 9.5cm
連禮物盒
＄160
－
🌟食人花玻璃盆景🌟
尺寸：10 x 7cm
連禮物盒
＄99
－
Whatsapp: 55109214

#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心拖鞋 #s2s食人花",2023-06-29T11:40:33+0000
355915284524115_750071327127427,"有一天
栽種着玫瑰花的小王子碰到了
食人花侵佔 佔領了他的玫瑰園
看着看着他覺得食人花也很漂亮
所以最後決定把食人花也樣在一起了
漂亮的小王子食人花盆景誰不想擁有一個？
-
🌟食人花盆栽（小王子版本）🌟
款式：小王子與狐狸｜小王子與玫瑰
花盆尺寸：10 x 9.5cm
連禮物盒
＄150
－
🌟食人花玻璃盆景🌟
尺寸：10 x 7cm
連禮物盒
＄98
－
Whatsapp: 55109214

#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心拖鞋 #s2s食人花",2023-06-29T11:39:51+0000
355915284524115_749224600545433,"小新中那個鼻水流不停的阿呆將化身為過敏兒的救星
準備用鼻涕支援大家
-
【阿呆紙巾硬盒】
人手製作
// 尺寸︰25cm //
$220
whatsapp:55109214

#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s紙巾套",2023-06-28T10:06:23+0000
355915284524115_748413203959906,"受死啦！一個觀音造型嘅鹹蛋超人水泥擺設，將觀音同鹹蛋超人嘅元素結合喺一齊，成為一個獨特嘅造型😂😂😂。呢個擺設嘅材質採用水泥，質感細緻，顏色淺灰色，好適合放係任何一個屋企嘅擺設。佢嘅尺寸都好啱，唔會佔太多位，可以放係書枱、櫥櫃或者客廳嘅展示架上，增加屋企嘅裝飾效果。
-
佛系超人水泥擺件
Size:15cm高
$230
-
WhatsApp:55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s玩具",2023-06-27T10:17:48+0000
355915284524115_747682064033020,"呢個手機殼係一個西多士造型嘅產品，每一個都有啲微妙嘅唔同形狀，好似真嘅一樣。佢有三款口味可以揀擇，分別係牛油、雞蛋同原味，每一款都有佢獨特嘅風味同特色。如果你鍾意食西多士，咁就唔應該錯過呢個手機殼啦！
-
超像真多士手機殼
三款不同選擇（牛油、雞蛋和原味）
大部分iPhone適用
$160
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s手機殼 #s2scase",2023-06-26T09:44:08+0000
355915284524115_746988930769000,"有壓カ！！！
點算！
放心！
有佢！！！
任打任踢任渣
有怨言！！
有佢！
-
發洩LULU豬2.0
$190
PU材料
-
WhatsApp:55109214
-
#hkigshop #igshop #文青 #有趣 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜  #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s花 #畢業花 #生日花 #情人節花 #紀念日花 #花束 #畢業花束 #畢業 #s2slulu豬",2023-06-25T10:59:01+0000
355915284524115_746308474170379,"呢個紅蘑菇餐具套裝，包括咖啡杯、飯碗同埋湯麵碗三件啊！全部嘅設計都係以可愛嘅紅蘑菇為主題，色彩鮮豔靚麗。咖啡杯、飯碗同湯麵碗都採用優質陶瓷製成，質感細緻，好耐用。嚟緊開始啲朝早飲咖啡、食早餐，或者煮湯麵嘅時候，就可以用呢套餐具啦！唔止實用，仲好睇呢！
-
紅蘑菇餐具套裝
杯 $150
飯碗 $130
麵碗 $180
一套 $420
-
Whatsapp ： 55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s碗",2023-06-24T10:35:48+0000
355915284524115_745640077570552,"#絕對係原創
#男朋友生日
#朋友生日都得
#聞著屁屁說著愛
#經期有人接你血
#著底褲著到盡

定製你的心水人頭內褲<3
男裝版
棉質面料
圖案可選前後
尺碼：S  M  L
.
人面獸心底褲
$180
whatsapp:55109214
#s2s訂製",2023-06-23T10:05:28+0000
355915284524115_745000217634538,"看得小仙女的少女心瞬間爆燈
作為一個精緻的水晶女孩
怎麼能缺少一套好用好看的化妝刷呢
-
百變小櫻🌸8枝套裝：
1️⃣碎粉掃
2️⃣粉底掃
3️⃣斜角化妝掃
4️⃣眼影掃(大)
5️⃣眉梳+眉刷
6️⃣唇掃
7️⃣眼影掃(小)
8️⃣眉掃
-
百變小櫻化妝掃
$150
Whatsapp:55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s化妝品",2023-06-22T10:48:11+0000
355915284524115_744287474372479,"呢款舉中指嘅形狀蠟燭唔止燃燒時間長，外形仲好逼真，真係會有種感覺係向某個人竪起中指咁！不過唔洗擔心，呢只係蠟燭，唔係真嘅中指，即使你打火都唔會惹麻煩。而且，如果你想搞下氣氛，逗下朋友笑，呢款蠟燭就好啦，保證會令大家捧腹大笑！
-
燒中指蠟燭
顏色：黑/白
$120
-
Whatsapp ： 55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s家品",2023-06-21T09:58:11+0000
355915284524115_743565557778004,"食多D菜啦！
「擬真生菜造型便條紙」是一種具有生菜外觀的便條紙產品。
它具有逼真的綠色外觀和質地，讓人感覺像是一片生菜葉子。
-
生菜便簽薄
100頁
135*120cm
-
$105
Whatsapp ： 55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s文具",2023-06-20T09:55:48+0000
